ResourceID,Geometric Place Expression,Archaeological Assessor,GridID,Place Name,Name Type,Archaeological Assessment Date,Heritage Place Function Type,Heritage Place Function Certainty,Heritage Place Function Sub-type,Heritage Place Function Sub-type Certainty,Site Feature Interpretation Type,Site Feature Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Interpretation Type,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Archaeological Assessment Acitivty Sub-type,Archaeological Assessment Acitivty Sub-type - ORIGINAL,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Driver Certainty,Remarks,Remark Type,Cultural Period Type,Cultural Period Sub-type,30m STRN Elevation,Aimag,Soum,Bag,NCCH_Reg
L7-224,POINT (89.44440191 49.30040577),,L7,L7-224,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2665,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-225,POINT (89.57529469 49.32369411),,L7,L7-225,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2561,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-226,POINT (89.56752701 49.32652615),,L7,L7-226,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2616,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-227,POINT (89.5201283 49.34463226),,L7,L7-227,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2701,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-228,POINT (89.53295462 49.35615728),,L7,L7-228,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2612,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-229,POINT (89.5285558 49.35533965),,L7,L7-229,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2616,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-230,POINT (89.52850215 49.3537253),,L7,L7-230,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2624,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-231,POINT (89.53935442 49.37425093),,L7,L7-231,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2573,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-232,POINT (89.54754424 49.37434772),,L7,L7-232,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2521,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-233,POINT (89.56601394 49.38573658),,L7,L7-233,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2467,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-234,POINT (89.57294476 49.39328927),,L7,L7-234,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2426,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-235,POINT (89.57480604 49.39416023),,L7,L7-235,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2422,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-236,POINT (89.5773929 49.39648552),,L7,L7-236,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2416,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-237,POINT (89.53119327 49.36538647),,L7,L7-237,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2568,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-238,POINT (89.53541669 49.36943684),,L7,L7-238,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2549,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-239,POINT (89.54205247 49.36961499),,L7,L7-239,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2533,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-240,POINT (89.5626572 49.38384416),,L7,L7-240,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2471,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-241,POINT (89.55858561 49.38088795),,L7,L7-241,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2481,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-242,POINT (89.5557532 49.37896011),,L7,L7-242,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2494,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-243,POINT (89.50350314 49.34260064),,L7,L7-243,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2769,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-244,POINT (89.44036368 49.2229957),,L7,L7-244,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2188,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-245,POINT (89.43337844 49.31251663),,L7,L7-245,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2635,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-246,POINT (89.42587081 49.30103163),,L7,L7-246,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2471,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-247,POINT (89.43481908 49.29045711),,L7,L7-247,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2470,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-248,POINT (89.56242854 49.29572565),,L7,L7-248,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2607,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-249,POINT (89.40015387 49.28281328),,L7,L7-249,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2573,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-250,POINT (89.39809394 49.27277963),,L7,L7-250,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2734,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-251,POINT (89.38981127 49.27085456),,L7,L7-251,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2810,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-252,POINT (89.5474318 49.26839772),,L7,L7-252,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2533,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-253,POINT (89.54803798 49.27223398),,L7,L7-253,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2591,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-254,POINT (89.54619262 49.27278349),,L7,L7-254,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2615,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-255,POINT (89.54305461 49.25277433),,L7,L7-255,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2589,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-256,POINT (89.55211464 49.21549637),,L7,L7-256,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2479,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-257,POINT (89.59103408 49.20776023),,L7,L7-257,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2196,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-258,POINT (89.58327177 49.19916252),,L7,L7-258,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2165,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-259,POINT (89.56515345 49.20659491),,L7,L7-259,MAPSS RS Number,2021-11-18,Architectural/Settlement,Low,Settlement/Habitation,Low,Campsite,Summer Camp,Low,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2325,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-260,POINT (89.55490375 49.20360782),,L7,L7-260,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2379,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-261,POINT (89.4185579 49.19550035),,L7,L7-261,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2486,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-262,POINT (89.48536637 49.19283607),,L7,L7-262,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2128,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-263,POINT (89.49775136 49.194375),,L7,L7-263,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2243,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-264,POINT (89.51714437 49.19508313),,L7,L7-264,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2252,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-265,POINT (89.44310368 49.1869385),,L7,L7-265,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2326,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-266,POINT (89.3931985 49.18822875),,L7,L7-266,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2653,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-267,POINT (89.58502093 49.17475768),,L7,L7-267,MAPSS RS Number,2021-11-18,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2028,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-268,POINT (89.42233728 49.17638133),,L7,L7-268,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2354,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-269,POINT (89.38462542 49.17758067),,L7,L7-269,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2484,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-270,POINT (89.39491431 49.16918707),,L7,L7-270,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2371,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-271,POINT (89.54122113 49.15882339),,L7,L7-271,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A0',General Description,,,2053,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-272,POINT (89.4556372 49.15871814),,L7,L7-272,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2183,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-273,POINT (89.59163397 49.14895548),,L7,L7-273,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2095,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-274,POINT (89.58750336 49.1497204),,L7,L7-274,MAPSS RS Number,2021-11-18,Architectural/Settlement,High,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2056,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-276,POINT (89.57930071 49.18529171),,L7,L7-276,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,18,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,Bronze Age,,2082,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-276,POINT (89.58738749 49.20680145),,L7,L7-276,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,,,High,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2225,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-277,POINT (89.57969634 49.18768906),,L7,L7-277,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,,,High,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2100,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-278,POINT (89.5793168 49.18829035),,L7,L7-278,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,,,High,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2103,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-279,POINT (89.57883937 49.18922471),,L7,L7-279,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,,,High,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2112,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-280,POINT (89.58347435 49.18480324),,L7,L7-280,MAPSS RS Number,2021-11-18,Funerary,Medium,Burial,Medium,,,Medium,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2073,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-281,POINT (89.57600922 49.19355607),,L7,L7-281,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,,,High,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,Environmental (Natural),Erosion/Deterioration,,,,,,2152,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-282,POINT (89.60381434 49.20814455),,L7,L7-282,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2146,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-283,POINT (89.6030888 49.20803065),,L7,L7-283,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2153,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-284,POINT (89.60149155 49.20798947),,L7,L7-284,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,13,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2154,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-285,POINT (89.59983528 49.20874472),,L7,L7-285,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2154,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-286,POINT (89.60447416 49.20887263),,L7,L7-286,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,,,High,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2152,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-287,POINT (89.6012354 49.20958888),,L7,L7-287,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,13,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Good,,,,,,,,,,,,,2161,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-288,POINT (89.61134196 49.20812571),,L7,L7-288,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,18,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2128,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-289,POINT (89.60720197 49.20985785),,L7,L7-289,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2145,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-290,POINT (89.59723622 49.2079128),,L7,L7-290,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,27,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2147,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-291,POINT (89.61520366 49.20407245),,L7,L7-291,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,19,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2104,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-292,POINT (89.61510576 49.20332853),,L7,L7-292,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,21,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2102,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-293,POINT (89.61302101 49.19884501),,L7,L7-293,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,Khirigsuur,Circle Khirigsuur,Definite,,,,22,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2086,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-294,POINT (89.61442273 49.19871596),,L7,L7-294,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2094,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-295,POINT (89.61513217 49.19894425),,L7,L7-295,MAPSS RS Number,2021-11-18,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,Bronze Age,,2090,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-296,POINT (89.62030548 49.20282358),,L7,L7-296,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,13,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2097,Bajan-�lgij,Nogoonnuur,Nogoonnuur,
L7-297,POINT (89.61400229 49.19560622),,L7,L7-297,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2119,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-298,POINT (89.6142638 49.19537397),,L7,L7-298,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2127,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-299,POINT (89.61434829 49.19527932),,L7,L7-299,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2133,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-300,POINT (89.6164726 49.19393755),,L7,L7-300,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2155,Bajan-�lgij,Ulaanxus,Ulaanxus,
L7-301,POINT (89.61648736 49.1936273),,L7,L7-301,MAPSS RS Number,2021-11-18,Funerary,Definite,Burial,Definite,,,Definite,,Mound,,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,Fair,,,,,,,,,,,,,2141,Bajan-�lgij,Ulaanxus,Ulaanxus,
