ResourceID,Geometric Place Expression,Remote Sensing Assessor,Grid Square,Remote Sensing Object Name,Name Type,Remote Sensing Place Type,Assessment Date,Heritage Place Function Certainty,Heritage Place Function Sub-type,Remote Sensing Interpretation Type,Remote Sensing Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Assessment Source,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Probability,Remark,Remark Type,Cultural Period Type,30m SRTN Elevation,Aimag,Soum,Bag,Heritage Place Function Type
M14-275,POINT (91.25119011 48.92683626),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-275,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,High,,,,1324,Khovd,,,Funerary
M14-276,POINT (91.37876599 48.92672026),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-276,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1562,Khovd,,,Architectural/Settlement
M14-277,POINT (91.27350488 48.91284064),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-277,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1316,Khovd,,,Architectural/Settlement
M14-278,POINT (91.25226136 48.90313167),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-278,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1316,Khovd,,,Architectural/Settlement
M14-279,POINT (91.39775833 48.89880945),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-279,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1583,Khovd,,,Architectural/Settlement
M14-280,POINT (91.3935258 48.89926437),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-280,MAPSS RS Number,Site Feature,2022-05-02,Low,Settlement/Habitation,Campsite,Summer Camp,Low,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1571,Khovd,,,Architectural/Settlement
M14-281,POINT (91.24508805 48.89600216),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-281,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1315,Khovd,,,Architectural/Settlement
M14-282,POINT (91.24772198 48.89180872),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-282,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1315,Khovd,,,Architectural/Settlement
M14-283,POINT (91.39363099 48.89181718),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-283,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,Campsite,Summer Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1602,Khovd,,,Architectural/Settlement
M14-284,POINT (91.25406146 48.88735007),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-284,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1316,Khovd,,,Architectural/Settlement
M14-285,POINT (91.40381714 48.87338246),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-285,MAPSS RS Number,Site Feature,2022-05-02,Low,Settlement/Habitation,,,Low,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1679,Khovd,,,Funerary
M14-286,POINT (91.27100335 48.87048477),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-286,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1311,Khovd,,,Architectural/Settlement
M14-287,POINT (91.27399669 48.87098934),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-287,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,Campsite,Summer Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1309,Khovd,,,Architectural/Settlement
M14-288,POINT (91.28267096 48.87118341),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M14,M14-288,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,Definite,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1311,Khovd,,,Architectural/Settlement
N13-001,POINT (91.22466234 48.86000312),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-001,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,High,Loss/Removal of Archaeological Material,High,,,,,,,1413,Khovd,,,Funerary
N13-002,POINT (91.12258257 48.86561771),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-002,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Campsite,Winter Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1544,Khovd,,,Architectural/Settlement
N13-003,POINT (91.2261551 48.86069927),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-003,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,,,High,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1405,Khovd,,,Funerary
N13-004,POINT (91.14393606 48.86216209),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-004,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1604,Khovd,,,Architectural/Settlement
N13-005,POINT (91.2273688 48.86086029),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-005,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Khirigsuur,Circle Khirigsuur,High,,Circular,14,,,7,Archaeological Assessment (Image Interpretation),Bing,Unknown,,,,,,,,,,,Bronze Age,1397,Khovd,,,Funerary
N13-006,POINT (91.13511338 48.85929249),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-006,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,Campsite,Winter Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1657,Khovd,,,Architectural/Settlement
N13-007,POINT (91.22992773 48.86287375),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-007,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1398,Khovd,,,Architectural/Settlement
N13-008,POINT (91.1270487 48.86028162),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-008,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,Campsite,Winter Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1595,Khovd,,,Architectural/Settlement
N13-009,POINT (91.22673654 48.86208684),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-009,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1404,Khovd,,,Funerary
N13-010,POINT (91.12419999 48.85542),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-010,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""some kind of stone pile, could be a burial mound, or the natural structure""",General Description,,1651,Khovd,,,Funerary
N13-011,POINT (91.22673044 48.86260354),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-011,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1409,Khovd,,,Funerary
N13-012,POINT (91.12370072 48.85641236),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-012,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""some kind of stone pile, could be a burial mound, or the natural structure""",General Description,,1639,Khovd,,,Funerary
N13-013,POINT (91.2358025 48.86285115),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-013,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1369,Khovd,,,Funerary
N13-014,POINT (91.12443972 48.85946379),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-014,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,15,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""some kind of stone pile, could be a burial mound, or the natural structure""",General Description,,1601,Khovd,,,Funerary
N13-015,POINT (91.23809475 48.86351502),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-015,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,Medium,,Circular,18,,,7,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,Medium,,,Bronze Age,1363,Khovd,,,Funerary
N13-016,POINT (91.12284112 48.85975672),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-016,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,"""some kind of stone pile, could be a burial mound, or the natural structure""",General Description,,1602,Khovd,,,Funerary
N13-017,POINT (91.23966053 48.86521809),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-017,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1353,Khovd,,,Funerary
N13-018,POINT (91.16290118 48.85648088),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-018,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Erosion/Deterioration,High,,,,1664,Khovd,,,Funerary
N13-019,POINT (91.22856966 48.82625459),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-019,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Erosion/Deterioration,High,,,,1451,Khovd,,,Funerary
N13-020,POINT (91.22681471 48.85494668),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-020,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1416,Khovd,,,Funerary
N13-021,POINT (91.22200953 48.85334774),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-021,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1444,Khovd,,,Funerary
N13-022,POINT (91.18934023 48.85357982),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-022,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1552,Khovd,,,Architectural/Settlement
N13-023,POINT (91.1764549 48.85367512),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-023,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1674,Khovd,,,Architectural/Settlement
N13-024,POINT (91.15629541 48.85487874),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-024,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1656,Khovd,,,Architectural/Settlement
N13-025,POINT (91.15263059 48.84996029),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-025,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1695,Khovd,,,Architectural/Settlement
N13-026,POINT (91.16376398 48.85124518),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-026,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1680,Khovd,,,Architectural/Settlement
N13-027,POINT (91.21219726 48.84857082),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-027,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1473,Khovd,,,Architectural/Settlement
N13-028,POINT (91.13056064 48.84787011),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-028,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1804,Khovd,,,Architectural/Settlement
N13-029,POINT (91.08816737 48.84738186),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-029,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1643,Khovd,,,Architectural/Settlement
N13-030,POINT (91.03572347 48.85044329),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-030,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,Campsite,Winter Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1782,Khovd,,,Architectural/Settlement
N13-031,POINT (90.98244489 48.84289433),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-031,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,,,Medium,Mound,Circular,,,,,Archaeological Assessment (Image Interpretation),Maxar,Fair,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Definite,Loss/Removal of Archaeological Material,Definite,,,,,,,1710,Khovd,,,Funerary
N13-032,POINT (91.04259073 48.84368077),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-032,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1718,Khovd,,,Architectural/Settlement
N13-033,POINT (91.02153736 48.83911777),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-033,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1665,Khovd,,,Architectural/Settlement
N13-034,POINT (91.00548836 48.8406086),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-034,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,,,,,,,1669,Khovd,,,Funerary
N13-035,POINT (91.00856971 48.83892867),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-035,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1667,Khovd,,,Funerary
N13-036,POINT (91.00715216 48.83884834),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-036,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1668,Khovd,,,Funerary
N13-037,POINT (91.00820205 48.84098397),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-037,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1725,Khovd,,,Funerary
N13-038,POINT (91.11239665 48.83708121),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-038,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,Winter Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1890,Khovd,,,Architectural/Settlement
N13-039,POINT (91.09067865 48.83416308),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-039,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1813,Khovd,,,Architectural/Settlement
N13-040,POINT (91.03512311 48.83450559),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-040,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1637,Khovd,,,Architectural/Settlement
N13-041,POINT (91.19085096 48.84143146),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-041,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1558,Khovd,,,Architectural/Settlement
N13-042,POINT (91.15284884 48.83953041),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-042,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1763,Khovd,,,Architectural/Settlement
N13-043,POINT (91.2128006 48.83933376),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-043,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1519,Khovd,,,Funerary
N13-044,POINT (91.23517115 48.83967078),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-044,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Medium,Loss/Removal of Archaeological Material,Medium,,,,,,,1433,Khovd,,,Funerary
N13-045,POINT (91.23916563 48.83879295),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N13,N13-045,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1416,Khovd,,,Funerary
